Gene	Mean	Variance	CV2
GENE	NA	NA	NA
0610005C13Rik	NA	0.001	NA
0610007N19Rik	NA	0.005	NA
0610007P14Rik	NA	0.101	NA
0610009B22Rik	NA	0.027	NA
0610009D07Rik	NA	0.042	NA
0610009E02Rik	NA	0.021	NA
0610009L18Rik	NA	0.009	NA
0610009O20Rik	NA	0.036	NA
0610010F05Rik	NA	0.101	NA
0610010K14Rik	NA	0.003	NA
0610011F06Rik	NA	0.113	NA
0610030E20Rik	NA	0.072	NA
0610031J06Rik	NA	0.038	NA
0610037L13Rik	NA	0.128	NA
0610038L08Rik	NA	0	NA
0610040B10Rik	NA	0.005	NA
0610040F04Rik	NA	0.004	NA
0610040J01Rik	NA	0.002	NA
0610043K17Rik	NA	0.009	NA
1010001B22Rik	NA	0	NA
1110001A16Rik	NA	0.032	NA
1110001J03Rik	NA	0.035	NA
1110002E22Rik	NA	0.006	NA
1110002J07Rik	NA	0.002	NA
1110002L01Rik	NA	0.018	NA
1110004E09Rik	NA	0.026	NA
1110004F10Rik	NA	0.08	NA
1110007C09Rik	NA	0.023	NA
1110008F13Rik	NA	0.046	NA
1110008J03Rik	NA	0.026	NA
1110008L16Rik	NA	0.009	NA
1110008P14Rik	NA	0.078	NA
1110012L19Rik	NA	0.006	NA
1110017D15Rik	NA	0.006	NA
1110018N20Rik	NA	0.014	NA
1110019D14Rik	NA	0.008	NA
1110020A21Rik	NA	0.002	NA
1110032A03Rik	NA	0.041	NA
1110032F04Rik	NA	0.011	NA
1110034G24Rik	NA	0.009	NA
1110035M17Rik	NA	0.002	NA
1110037F02Rik	NA	0.065	NA
1110038B12Rik	NA	0.031	NA
1110038F14Rik	NA	0.057	NA
1110046J04Rik	NA	0.021	NA
1110051M20Rik	NA	0.073	NA
1110054M08Rik	NA	0.008	NA
1110057K04Rik	NA	0.034	NA
1110058L19Rik	NA	0.026	NA
1110059E24Rik	NA	0.013	NA
1110059G10Rik	NA	0.025	NA
1110059M19Rik	NA	0	NA
1110065P20Rik	NA	0.031	NA
1190002N15Rik	NA	0.024	NA
1190005I06Rik	NA	0.009	NA
1190007I07Rik	NA	0.023	NA
1200014J11Rik	NA	0.061	NA
1300002E11Rik	NA	0.019	NA
1300017J02Rik	NA	0.001	NA
1500002C15Rik	NA	0.002	NA
1500009C09Rik	NA	0.029	NA
1500009L16Rik	NA	0.013	NA
1500011B03Rik	NA	0.073	NA
1500011K16Rik	NA	0.043	NA
1500012F01Rik	NA	0.074	NA
1500015L24Rik	NA	0.002	NA
1500015O10Rik	NA	0.006	NA
1500016L03Rik	NA	0.004	NA
1500017E21Rik	NA	0.005	NA
1500026H17Rik	NA	0.012	NA
1500035N22Rik	NA	0.002	NA
1520401A03Rik	NA	0.001	NA
1600002H07Rik	NA	0.025	NA
1600002K03Rik	NA	0.022	NA
1600012H06Rik	NA	0.023	NA
1600014C10Rik	NA	0.015	NA
